info: Jul-14-2022 16:11:40: game:research success |	server1 - 192.0.0.1 |	SESSION: 347637fdb1c7fd27|	USERID: undefined |	NICKNAME: test |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","state":"success","attackType":0,"attackLevel":0,"totalPita":499}
info: Jul-14-2022 16:22:43: game:research success |	server1 - 192.0.0.1 |	SESSION: f1ba908802224f1e|	USERID: undefined |	NICKNAME: qwer |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","state":"success","attackType":0,"attackLevel":0,"totalPita":499}
info: Jul-14-2022 16:23:25: game:research success |	server1 - 192.0.0.1 |	SESSION: f1ba908802224f1e|	USERID: undefined |	NICKNAME: qwer |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyB","state":"success","attackType":0,"attackLevel":0,"totalPita":698}
info: Jul-14-2022 16:24:39: game:Game Over |	server1 - 192.0.0.1 |	SESSION: f1ba908802224f1e|	USERID: 17e7eea6f4d39e3c |	NICKNAME: qwer |	DATA: {"roomID":"24440","winTeam":false,"cause":"AllDestroyed","blackScore":6048,"whiteScore":1600,"blackPita":1048,"whitePita":1600,"remainCompanyNum":0}
info: Jul-14-2022 16:24:39: game:Game Over |	server1 - 192.0.0.1 |	SESSION: f1ba908802224f1e|	USERID: 17e7eea6f4d39e3c |	NICKNAME: qwer |	DATA: {"roomID":"24440","winTeam":false,"cause":"AllDestroyed","blackScore":6048,"whiteScore":1600,"blackPita":1048,"whitePita":1600,"remainCompanyNum":0}
info: Jul-14-2022 16:24:39: game:Game Over |	server1 - 192.0.0.1 |	SESSION: f1ba908802224f1e|	USERID: 17e7eea6f4d39e3c |	NICKNAME: qwer |	DATA: {"roomID":"24440","winTeam":false,"cause":"AllDestroyed","blackScore":6048,"whiteScore":1600,"blackPita":1048,"whitePita":1600,"remainCompanyNum":0}
info: Jul-14-2022 16:24:39: game:Game Over |	server1 - 192.0.0.1 |	SESSION: f1ba908802224f1e|	USERID: 17e7eea6f4d39e3c |	NICKNAME: qwer |	DATA: {"roomID":"24440","winTeam":false,"cause":"AllDestroyed","blackScore":6048,"whiteScore":1600,"blackPita":1048,"whitePita":1600,"remainCompanyNum":0}
info: Jul-14-2022 16:40:26: game:Game Over |	server1 - 192.0.0.1 |	SESSION: bc8e09f5d92d54f9|	USERID: aaaf71f144b0b5a7 |	NICKNAME: rttuy |	DATA: {"roomID":"78113","winTeam":true,"cause":"Timeout","blackScore":500,"whiteScore":5500,"blackPita":500,"whitePita":500,"remainCompanyNum":5}
info: Jul-14-2022 17:04:27: game:research success |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","state":"success","attackType":1,"attackLevel":0,"totalPita":549}
info: Jul-14-2022 17:04:28: game:research success |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","state":"success","attackType":2,"attackLevel":0,"totalPita":598}
info: Jul-14-2022 17:04:31: game:research success |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","state":"success","attackType":3,"attackLevel":0,"totalPita":597}
info: Jul-14-2022 17:04:34: game:attack attempt |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"state":"attempnt","attackType":1,"attackLevel":1,"cost":1,"totalPita":596}
info: Jul-14-2022 17:04:35: game:attack attempt |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"state":"attempnt","attackType":2,"attackLevel":1,"cost":1,"totalPita":595}
info: Jul-14-2022 17:04:37: game:attack attempt |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"state":"attempnt","attackType":3,"attackLevel":1,"cost":1,"totalPita":594}
info: Jul-14-2022 17:04:37: game:detect black |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"attackType":1,"nickname":"q","cost":0,"totalPita":800}
info: Jul-14-2022 17:04:38: game:monitoring attack |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"attackType":2,"cost":0,"totalPita":695}
info: Jul-14-2022 17:04:38: game:detect black |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"attackType":2,"nickname":"q","cost":0,"totalPita":900}
info: Jul-14-2022 17:04:40: game:warn black |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"attackType":3,"nickname":"q","cost":0,"totalPita":900}
info: Jul-14-2022 17:04:44: game:attack success |	server1 - 192.0.0.1 |	SESSION: 7c82b9705ec9185e|	USERID: undefined |	NICKNAME: q |	DATA: {"roomID":"sdfsdfb124gvv","team":false,"companyName":"companyA","section":0,"state":"success","attackType":2,"attackLevel":1,"cost":0,"totalPita":695}
