error: Aug-01-2022 20:07:44: game:chatting |	192.168.45.45 - 192.0.0.1 |	SESSION: dcde388e78085487|	USERID: c04186b37e072e95 |	NICKNAME: test |	DATA: {"roomID":"677a0d71771fa78f","room":"84195","team":false,"chatting":"test"}
error: Aug-01-2022 20:35:16: game:chatting |	192.168.45.45 - 192.0.0.1 |	SESSION: a4d1664b43fcd579|	USERID: 9382ac3adfb2748c |	NICKNAME: test |	DATA: {"roomID":"b9db53ca5a40b65b","room":"05916","team":false,"chatting":"test"}
error: Aug-01-2022 20:42:25: game:chatting |	192.168.45.45 - 192.0.0.1 |	SESSION: e9e47fc10316a6ec|	USERID: 17e3dd523d718914 |	NICKNAME: test |	DATA: {"roomID":"23e9a1907852386e","room":"89773","team":false,"chatting":"test"}
error: Aug-01-2022 20:42:34: game:chatting |	192.168.45.45 - 192.0.0.1 |	SESSION: 011dfb273e2ee52d|	USERID: 5a96b15e048708c2 |	NICKNAME: test3 |	DATA: {"roomID":"23e9a1907852386e","room":"89773","team":false,"chatting":"test2"}
error: Aug-01-2022 20:55:15: game:chatting |	192.168.45.45 - 192.0.0.1 |	SESSION: 7aea9d9a09996c32|	USERID: 534d9e3ea26b09ac |	NICKNAME: test |	DATA: {"roomID":"cd5e769d8b377fb4","room":"24428","team":false,"chatting":"test"}
error: Aug-01-2022 20:55:16: game:chatting |	192.168.45.45 - 192.0.0.1 |	SESSION: 7aea9d9a09996c32|	USERID: 534d9e3ea26b09ac |	NICKNAME: test |	DATA: {"roomID":"cd5e769d8b377fb4","room":"24428","team":false,"chatting":"test"}
error: Aug-01-2022 21:00:07: game:chatting |	192.168.45.45 - 192.0.0.1 |	SESSION: f59db0dcd351fbb7|	USERID: 93f91321356338d3 |	NICKNAME: test |	DATA: {"roomID":"8d732922c13d0efd","room":"36836","team":false,"chatting":"test"}
error: Aug-01-2022 21:00:12: game:chatting |	192.168.45.45 - 192.0.0.1 |	SESSION: c511984089d6aa29|	USERID: 116c6ac590e54494 |	NICKNAME: test3 |	DATA: {"roomID":"8d732922c13d0efd","room":"36836","team":false,"chatting":"test"}
error: Aug-01-2022 21:00:16: game:chatting |	192.168.45.45 - 192.0.0.1 |	SESSION: f59db0dcd351fbb7|	USERID: 93f91321356338d3 |	NICKNAME: test |	DATA: {"roomID":"8d732922c13d0efd","room":"36836","team":false,"chatting":"test"}
error: Aug-01-2022 21:00:18: game:chatting |	192.168.45.45 - 192.0.0.1 |	SESSION: f59db0dcd351fbb7|	USERID: 93f91321356338d3 |	NICKNAME: test |	DATA: {"roomID":"8d732922c13d0efd","room":"36836","team":false,"chatting":"ttt"}
error: Aug-01-2022 21:00:19: game:chatting |	192.168.45.45 - 192.0.0.1 |	SESSION: f59db0dcd351fbb7|	USERID: 93f91321356338d3 |	NICKNAME: test |	DATA: {"roomID":"8d732922c13d0efd","room":"36836","team":false,"chatting":"t"}
